AreaId,Q1_1,Q1_2,Q2_1,Q3_1,Q3_2,Q4_1,Q4_2,Q5_1,Q6_1,Q6_2,Q7_1,Q8_1,Q8_2,Q9_1,Q10_1,Q10_2,Q11_1,Q11_2,Q12_1,Q12_2,Q13_1,Q13_2,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q16_1,Q16_2,Q16_3,Q17_1,Q18_1,Q18_2,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5
uk,2,2,7,2,5,1,7,2,3,7,6,2,7,4,1,1,2,3,3,7,3,3,5,5,5,3,7,6,6,2,7,2,7,5,6,6,,
il_1,2,7,3,1,5,1,7,1,3,7,7,2,7,7,1,1,7,4,3,7,7,3,7,7,7,4,7,2,2,7,7,1,7,7,7,1,,
md_1,2,4,2,1,5,1,7,2,7,4,1,2,7,6,1,1,1,1,7,7,7,4,1,1,1,6,7,1,1,7,7,1,7,7,7,7,7,7
mo_1,7,1,1,7,1,2,6,1,3,6,3,3,5,6,1,1,2,6,6,5,7,6,2,2,2,7,7,5,2,7,6,4,6,6,6,7,7,7
ma_1,4,5,4,1,5,3,7,5,2,7,6,3,6,7,1,1,7,7,7,2,6,6,2,4,2,7,3,4,4,7,6,4,7,7,4,7,4,4
ar_1,3,6,3,5,3,5,3,2,6,5,5,5,3,5,4,3,2,4,5,6,5,4,3,5,3,6,4,5,3,6,6,4,5,5,3,4,3,5
wi_1,3,7,1,1,4,2,5,1,4,7,2,1,4,7,1,1,2,5,4,3,4,6,6,4,1,2,6,6,6,5,7,2,7,5,7,7,1,7
nc_1,5,6,6,6,4,2,7,1,1,7,3,2,7,3,5,6,7,3,6,6,1,2,1,1,1,4,2,5,1,4,3,5,4,1,3,2,5,2
de_1,3,7,4,1,1,2,6,1,4,7,2,6,2,5,1,1,6,3,6,2,6,3,2,5,4,2,6,1,1,3,5,1,7,1,5,6,2,3
az_1,1,7,1,1,6,1,7,1,2,6,2,1,7,6,2,1,1,6,5,2,1,7,2,6,1,6,3,1,1,7,7,1,7,7,7,7,1,6
tx_1,4,7,6,1,6,6,3,3,1,6,2,5,3,6,6,2,6,6,4,6,3,5,3,6,6,3,6,2,3,7,7,3,5,5,6,7,6,7
az_2,4,3,2,4,1,3,6,1,2,6,3,2,7,7,4,1,3,5,3,7,4,2,5,5,5,6,6,4,2,6,7,4,5,5,5,5,2,7
pa_1,7,5,2,3,6,4,7,1,3,7,4,2,6,5,1,1,6,6,7,5,7,7,3,3,2,3,6,3,5,7,7,4,7,5,7,7,5,6
nj_1,7,7,1,1,7,1,4,2,7,7,2,1,1,3,1,1,2,2,7,7,7,7,1,1,1,4,4,7,5,7,7,4,7,7,7,7,5,6
nc_1,6,6,4,1,6,2,5,1,5,6,5,1,7,6,1,1,5,6,7,3,6,4,2,6,1,2,7,2,1,7,7,2,7,2,6,5,3,7
ca_1,1,6,1,1,5,2,7,1,2,6,4,1,5,5,1,1,2,5,6,1,1,1,2,2,2,6,3,1,1,7,6,1,7,5,6,6,3,7
fl_2,1,4,1,4,3,1,5,1,3,5,1,1,5,7,1,1,5,4,5,6,3,6,3,5,5,3,5,1,1,5,5,1,6,1,2,2,3,7
ca_2,1,7,1,7,1,1,7,1,1,7,2,1,7,7,1,7,1,7,7,1,1,7,2,7,1,1,7,1,1,7,7,1,7,1,7,1,1,1
ks_1,1,7,2,7,6,1,6,1,7,6,7,7,6,7,1,2,7,6,1,7,7,1,1,7,6,7,6,7,1,6,7,7,6,1,2,2,2,7
pa_2,4,5,2,1,4,1,7,1,1,6,2,1,6,3,1,1,1,1,7,6,3,1,3,1,1,1,6,1,1,7,7,1,7,1,6,6,6,7
ks_2,7,5,1,7,6,1,7,1,7,6,7,1,7,7,1,2,7,6,1,7,7,6,1,7,6,7,6,7,6,6,7,7,6,1,1,1,1,7
fl_1,4,7,4,1,4,2,7,1,6,7,7,3,7,4,1,1,4,4,7,7,7,2,6,7,1,7,7,5,2,7,5,1,7,7,7,7,1,5
nc_2,1,7,2,1,5,1,7,1,1,7,7,1,7,1,1,1,7,1,7,1,7,1,4,7,1,7,1,1,1,7,7,1,7,1,2,7,1,4
ca_3,7,7,2,7,1,3,5,4,7,2,2,4,5,3,1,1,2,3,3,4,2,2,4,6,3,2,5,2,3,7,7,2,6,2,5,7,3,6
md_2,3,7,3,7,2,4,7,1,7,7,2,2,7,7,1,1,1,5,7,7,2,2,5,4,3,7,7,1,1,7,7,1,7,6,7,7,5,7
md_3,2,6,1,7,1,2,6,1,2,6,1,2,6,5,2,1,5,4,5,3,5,5,3,2,1,5,3,4,1,7,6,2,6,2,5,4,3,7
wi_2,7,5,1,7,1,1,7,1,2,7,1,7,1,7,1,1,1,1,1,7,1,1,5,1,1,7,7,6,3,7,7,1,7,6,7,7,4,7
md_4,5,6,6,5,7,3,7,2,3,6,6,2,6,5,1,1,1,1,4,6,2,3,1,1,2,5,3,3,1,6,6,1,7,4,3,3,5,7
ca_4,4,6,1,5,7,3,7,1,4,7,2,4,7,7,1,1,1,6,7,5,7,7,6,6,6,4,4,5,6,7,5,6,7,5,6,6,5,7
ok_1,2,2,1,1,6,1,7,1,6,2,3,1,7,6,1,1,1,2,5,6,6,7,2,6,1,1,7,1,1,2,7,1,7,6,5,5,6,6
